大煮干丝,煮,初级入门,咸鲜味,清热解暑,<15分钟,干丝,香菇(干)/火腿/鸡/鸡胸脯肉/虾干,食盐/鸡汤/白胡椒粉,6步
蜂蜜萝卜泥,煮,,其它口味,养胃,,白萝卜,,长寿深山野蜜,2步
鸡蛋烧凉粉,炒,初中水平,酸辣味,防治贫血,<10分钟,绿豆淀粉,鸡蛋,食盐/姜/八角/花椒/生抽/米醋/水/辣椒酱/小葱/白糖,11步
无锡排骨,炖,初中水平,茄汁味,补肾,<60分钟,排骨,西红柿,葱/姜/蒜/八角/桂皮/生抽/老抽/番茄酱/黄酒/白糖/香叶/水/植物油,12步
四季烤麸,烧,,其它口味,降血脂,,香菇,,鸡精/生抽/老抽/水/发酵粉/黑木耳/苦菜/调和油/元贞糖,9步
鸡蛋豆苗汤,煲,,咸鲜味,利尿,,豌豆苗,,食盐/蒜/鸡蛋/调和油,1步
蒜爆鱼,其它工艺,初级入门,香辣味,明目,<15分钟,鲤鱼,,色拉油/食盐/酱油/花椒/干辣椒/料酒/米醋/大蒜/白糖,8步
四喜烤麸,烧,初中水平,咸鲜味,强身健体,<15分钟,黑木耳/干香菇/花生仁(生)/烤麸,干黄花菜,花生油/食盐/生抽/老抽/香油/白糖/水,14步
白汤鲫鱼,煮,初级入门,咸鲜味,明目,<30分钟,鲫鱼,冬笋/干香菇,色拉油/食盐/姜/细香葱/黄酒/鸡油,4步
西湖香菇豆腐羹,煲,,咸鲜味,降血脂,,香菇/毛豆腐/香肠,,,4步
火腿生菜丝炒饭,炒,,其它口味,明目,,米饭/鸡蛋/火腿,,咸菜,3步
豆豉南瓜排骨饭,拌,,香辣味,润肺,,猪大排,,南瓜/豆豉,3步
鸡肉青衣白菜包,其它工艺,,其它口味,明目,,金针菇/胡萝卜,,食盐/葱/姜/胡椒粉/元贞糖,5步
