四喜丸子,炖,初中水平,咸鲜味,,<60分钟,肉馅,食用油/盐/味精/姜/大葱/花椒/大料/花椒水/鸡蛋/淀粉/面粉/生抽/酱油/料酒/白糖/大蒜/小油菜,
葱爆小酥肉,炒,初级入门,咸鲜味,补肾,<10分钟,猪瘦肉/大葱/鸡蛋,白胡椒粉/生抽/老抽/淀粉/姜/蒜/花椒/盐/料酒/糖,
烧平鱼：滋味浓郁，肉嫩鲜美,烧,中级掌勺,家常味,脂肪肝,<15分钟,平鱼/葱/姜片/蒜,肉桂/大料/干辣椒/盐/生抽/料酒/醋,
醋熘白菜,炒,新手尝试,酸辣味,抵抗力,<10分钟,白菜,油/盐/醋/白糖/辣椒/蒜/生抽,
白萝卜丸子,炸,初级入门,家常味,消食,<15分钟,白萝卜/鸡蛋/面粉,盐/鸡精/五香粉/食用油,
霸王超市丨肘子两吃,砂锅,初级入门,家常味,,<90分钟,猪肘子/猪皮冻,生姜/大葱/蒜瓣/豆瓣酱/冰糖/调料包/黄酒/蒸鱼豉油,
美味秘制黄焖鸡,焖,中级掌勺,酱香味,抵抗力,<60分钟,鸡腿/香菇/青椒,盐（秘制酱）/生抽（秘制酱）/老抽（秘制酱）/豆瓣酱(秘制酱)/蚝油（秘制酱）/咖喱粉(秘制酱)/五香粉(秘制酱)/白胡椒粉(秘制酱)/糖(秘制酱)/开水(秘制酱),
酱香肘子,酱,初级入门,酱香味,,<90分钟,猪肘,冰糖/黄酒/生抽/老抽/姜/大蒜/花椒/八角/盐/桂皮/香叶,
黄焖鸡,焖,新手尝试,家常味,抵抗力,<60分钟,三黄鸡,土豆/洋葱/青椒/红椒/干香菇/葱/姜/葱头/生抽/料酒/冰糖/蚝油/白胡椒粉,
黄焖鸡米饭,焖,新手尝试,家常味,助消化,<30分钟,鸡肉块/干香菇/土豆/洋葱/青椒/金针菇,姜片/干辣椒/料酒/冰糖/生抽/蒜瓣/老抽/盐/葱,
八珍豆腐,烧,初中水平,咸鲜味,清热解毒,<10分钟,豆腐(南)/虾仁/鸡肉/海参（即食海参）/蟹肉棒/香菇/秋葵,蚝油/食盐/酱油(三鲜)/白糖/白胡椒粉/淀粉,
家常黄焖鸡,焖,初级入门,家常味,,<60分钟,鸡,香菇/酱油、生抽/油/盐/料酒/葱头/大蒜/生姜/水,
黄焖鸡米饭,焖,中级掌勺,咸鲜味,,<30分钟,鸡腿/木耳,冰糖/盐/生抽/料酒/姜/干辣椒/鸡精,
酥白肉,炸,初中水平,甜味,,<30分钟,猪肉(肥)/红枣,白砂糖/淀粉/面粉/植物油/熟芝麻,
四喜丸子,炖,初中水平,咸鲜味,,<60分钟,猪肉(肥瘦)/荸荠,高汤/水淀粉/葱姜汁/料酒/白糖/生抽/胡椒粉/淀粉/鸡蛋清/芝麻油/大葱/生姜/八角/桂皮/老抽/冰糖/盐/食用油,
脂渣炖白菜豆腐,炖,新手尝试,家常味,,<30分钟,大白菜/粉条/北豆腐/猪油渣,植物油/大葱/姜/食盐/味精/生抽/清水,
梅菜肉饼,蒸,初中水平,咸鲜味,促发育,<15分钟,猪肉/梅菜,生抽/细砂糖/玉米淀粉/料酒/芝麻油,
农家炖土鸡,炖,初中水平,香辣味,助消化,<2小时,鸡(土鸡，家养),尖椒,食盐/姜/八角/桂皮/干辣椒/料酒/生抽/老抽/甜面酱/小葱/香叶/植物油/水
